Ticker
A
AA
AAPL
ABB
ABBN
ABNB
ABT
ACN
ADBE
ADI
ADP
ADSK
AEP
AES
AFL
AJG
AKAM
ALB
ALK
ALL
AMC
AMD
AME
AMGN
AMT
AMZN
AOS
APA
APD
APO
APP
ARE
ARM
ASML
AVGO
AZN
AZO
BABA
BAM
BDX
BIDU
BK
BKNG
BMY
BN
BSX
C
CAT
CB
CDNS
CEG
CI
CL
CMCSA
CMI
COF
COIN
COP
COR
COST
CRH
CRWD
CSCO
CSX
CTAS
CVS
CVNA
DASH
DDOG
DE
DELL
DHR
DIS
DLR
DUK
EA
ECL
ELV
EMR
EOG
EPD
ET
ETN
F
FCX
FDX
FOXA
FTNT
GD
GE
GILD
GLW
GM
GNS
GOOG
GOOGL
GS
HCA
HLT
HON
HWM
IBM
ICE
IDXX
INTC
INTU
ISRG
ITW
JCI
JNJ
JPM
KKR
KLAC
KMI
LHX
LIN
LMT
LOW
LRCX
MA
MAR
MCD
MCK
MCO
MDLZ
MDT
MELI
MET
META
MMM
MMC
MNST
MO
MPC
MPLX
MSFT
MSI
MSTR
MU
NEM
NET
NFLX
NKE
NOC
NSC
NU
NVDA
NXPI
O
ORCL
ORLY
PANW
PCAR
PDD
PEP
PFE
PG
PGR
PH
PLD
PLTR
PNC
PSX
PWR
PYPL
QCOM
RBLX
RCL
REGN
RKT
ROST
RSG
RTX
SBUX
SCCO
SCHW
SE
SHW
SHOP
SLB
SNOW
SNPS
SO
SPG
SPGI
SPOT
SRE
SYK
T
TDG
TEL
TFC
TMO
TMUS
TRI
TRV
TSLA
TT
TXN
UL
UNH
UNP
UPS
URI
USB
V
VLO
VRT
VRTX
VST
WBD
WDAY
WELL
WM
WMB
XOM
ZTS
